STALPBR,YEAR,DEPSUMBR,ASSET,CERT,ID
OH,1994,26866,1254207,10276,1994_10276_20
OH,1994,3419,1254207,10276,1994_10276_28
OH,1994,3970,1254207,10276,1994_10276_29
OH,1994,40684,1254207,10276,1994_10276_3
OH,1994,33145,1254207,10276,1994_10276_33
OH,1994,28801,1254207,10276,1994_10276_34
OH,1994,43400,1254207,10276,1994_10276_35
OH,1994,0,1254207,10276,1994_10276_36
OH,1994,53708,1254207,10276,1994_10276_39
OH,1994,0,1254207,10276,1994_10276_4
OH,1994,13039,1254207,10276,1994_10276_43
OH,1994,8495,1254207,10276,1994_10276_44
OH,1994,11696,1254207,10276,1994_10276_45
OH,1994,1062,1254207,10276,1994_10276_46
OH,1994,361,1254207,10276,1994_10276_47
OH,1994,23219,1254207,10276,1994_10276_5
OH,1994,0,1254207,10276,1994_10276_6
OH,1994,49868,1254207,10276,1994_10276_7
OH,1994,59014,1254207,10276,1994_10276_8
OH,1994,25835,1254207,10276,1994_10276_9
OH,1994,8513,9546,10278,1994_10278_0
AR,1994,77057,112766,1027,1994_1027_0
AR,1994,4448,112766,1027,1994_1027_1
AR,1994,12343,112766,1027,1994_1027_2
AR,1994,3413,112766,1027,1994_1027_3
AR,1994,2724,112766,1027,1994_1027_4
OH,1994,47185,55280,10280,1994_10280_0
OH,1994,64773,446109,10283,1994_10283_0
OH,1994,19993,446109,10283,1994_10283_1
